S-ZORB.PT_6008.DACA,S-ZORB.LC_5101.PV,S-ZORB.CAL_H2.PV,S-ZORB.FT_9302.PV,S-ZORB.LT_3801.DACA,S-ZORB.SIS_TE_2802,S-ZORB.TE_5201.DACA,S-ZORB.TC_2801.PV,S-ZORB.FT_2303.DACA,S-ZORB.LC_5001.PV,S-ZORB.CAL.SPEED.PV,S-ZORB.FT_1503.TOTALIZERA.PV,S-ZORB.FT_1504.TOTALIZERA.PV,S-ZORB.LI_2104.DACA,S-ZORB.TE_1107.DACA.PV,S-ZORB.TE_6008.DACA.PV,S-ZORB.TE_1101.DACA.PV,S-ZORB.TE_6001.DACA.PV,S-ZORB.TE_1104.DACA.PV,S-ZORB.PDT_2104.PV,S-ZORB.CAL.CANGLIANG.PV,S-ZORB.TE_1106.DACA.PV,S-ZORB.TE_1103.DACA.PV,S-ZORB.PC_2401.PIDA.OP,S-ZORB.PC_2401.PIDA.SP,S-ZORB.TE_2001.DACA,j
-0.195205689,49.9165195,0.27631822,5361.62645,1.24651345,273.23717999999997,44.9203445,272.36798500000003,22.6219825,55.011075500000004,3.3249447999999995,39063124.5,39608757.0,37.795251,-0.00035156300000000005,0.6894531,6.879375,0.6679688,6.946113,101.29058,37.80465,0.26625,0.338789,86.06048,0.17,12265800.0,1.38
-0.167842968,49.955209,0.277126935,5394.2922,0.99247702,282.043645,49.961387,281.07271000000003,22.4862485,54.996157,3.3211691,38810581.5,39389299.0,37.885265000000004,-0.00035156300000000005,0.6894531,6.879375,0.6679688,6.946113,101.544925,37.8760065,0.26625,0.338789,86.06048,0.17,12265800.0,1.18
-0.239794865,50.2151765,0.277012895,5349.3918,1.089545615,274.16667,49.7545845,272.92433,22.635298499999998,55.02189250000001,3.3195686,38693812.0,39312616.5,37.9157605,-0.00035156300000000005,0.6894531,6.879375,0.6679688,6.946113,101.61832,37.907927,0.26625,0.338789,86.06048,0.17,12265800.0,1.38
-0.23483605,49.8779245,0.27722216,5342.5033,1.36464176,270.070205,50.039984000000004,269.141545,23.093170999999998,55.0417475,3.210211,38410862.5,39120204.5,39.185415500000005,-0.00035156300000000005,0.6894531,6.879375,0.6679688,6.946113,105.02976000000001,39.1773955,0.26625,0.338789,86.06048,0.17,12265800.0,1.38
-0.298749115,49.900563,0.27731006,5208.63935,1.03441154,268.022,49.900836,267.03339,23.2825515,55.0268465,3.17883155,38283000.0,39045953.5,39.518026500000005,-0.00035156300000000005,0.6894531,6.879375,0.6679688,6.946113,105.937455,39.5083695,0.26625,0.338789,86.06048,0.17,12265800.0,1.28
-0.290405125,50.102154,0.276607215,4926.6344,1.4621556,280.11752,49.9926165,279.29904500000004,23.67951,54.963980500000005,3.19052685,37948102.0,38870284.5,39.468287,-0.00035156300000000005,0.6894531,6.879375,0.6679688,6.946113,105.78795,39.458642499999996,0.26625,0.338789,86.06048,0.17,12265800.0,1.41
-0.25784236,50.0238275,0.27740788,4916.36325,1.46263805,279.20176000000004,50.674989000000004,278.48501,23.697595,54.997381000000004,3.1757537,37811191.5,38807013.0,39.5447875,-0.00035156300000000005,0.6894531,6.879375,0.6679688,6.946113,106.00657,39.5448565,0.26625,0.338789,86.06048,0.17,12265800.0,1.2
-0.163407048,50.1835195,0.2769217,4725.2411,1.08898953,291.163005,54.42389549999999,290.66771,24.226647500000002,55.0200745,3.137905,37497132.5,38630705.5,40.1030615,-0.00035156300000000005,0.6894531,6.879375,0.6679688,6.946113,107.489345,40.093263,0.26625,0.338789,86.06048,0.17,12265800.0,1.3
-0.220419125,50.076603000000006,0.27765841,4804.6154,1.587311075,280.894385,55.0987745,280.07422,24.384396,55.0006265,3.1472846000000003,37438622.5,38598901.5,39.8994505,-0.00035156300000000005,0.6894531,6.879375,0.6679688,6.946113,106.943605,39.889699,0.26625,0.338789,86.06048,0.17,12265800.0,1.1
-0.2646325,52.122358500000004,0.27733582,4854.6814,1.66949325,283.27687000000003,52.7463045,282.67941,24.493085999999998,54.938745,3.1432359,37375561.0,38568122.0,39.9679755,-0.00035156300000000005,0.6894531,6.879375,0.6679688,6.946113,107.09095500000001,39.948040500000005,0.26625,0.338789,86.06048,0.17,12265800.0,1.4
